,article_title,article_doi,article_author,article_author_index_name,article_author_affiliation,article_page_range,article_pub_date,article_pub_year,issue_section,issue_number,issue_title,issue_page_range,issue_pub_date,issue_pub_year,volume,journal,publisher,article_type
9,The importance of emigration for the solution of population problems in Western Europe,,"Wander, H.","Wander, H.",,,1951,1951,article,,,,1951,1951,1,Publications of the research group for european migration problems,Staatsdrukkerij,main
11,European emigration overseas past and future,,"Citroen, H.A.","Citroen, H.A.",,,1951,1951,article,,,,1951,1951,2,Publications of the research group for european migration problems,Staatsdrukkerij,main
13,Some aspects of migration problems in the Netherlands,,"Beijer, G. && Oudegeest, J.J.","Beijer, G. && Oudegeest, J.J.", && ,,1952,1952,article,,,,1952,1952,3_1,Publications of the research group for european migration problems,Staatsdrukkerij,main
15,Some quantitative aspects of future population development in the Netherlands,,"Brink, van den, T.","Brink, van den, T.",,,1952,1952,article,,,,1952,1952,3_2,Publications of the research group for european migration problems,Staatsdrukkerij,main
17,"The refugees as a burden, a stimulus, and a challenge to the West German economy  (eerder uitgegeven in Duits, Kieler Studien 12)",,"Edding, F.","Edding, F.",,,1951,1951,article,,,,1951,1951,4,Publications of the research group for european migration problems,Staatsdrukkerij,main
19,The solution of the Karelian refugee problem in Finland,,"Gadolin, de, A.","Gadolin, de, A.",,,1952,1952,article,,,,1952,1952,5,Publications of the research group for european migration problems,Staatsdrukkerij,main
21,Some factors influencing postwar emigration from the Netherlands,,"Petersen, W.","Petersen, W.",,,1952,1952,article,,,,1952,1952,6,Publications of the research group for european migration problems,Staatsdrukkerij,main
23,Some remarks on selective migration,,"Hofstee, E.W.","Hofstee, E.W.",,,1952,1952,article,,,,1952,1952,7,Publications of the research group for european migration problems,Staatsdrukkerij,main
25,L'immigration en France depuis 1945,,"Lannes, X.","Lannes, X.",,,1953,1953,article,,,,1953,1953,8,Publications of the research group for european migration problems,Staatsdrukkerij,main
27,Economic impacts of immigration : the Brazilian immigration problem,,"Bastos de Avila, F.","Bastos de Avila, F.",,,1954,1954,article,,,,1954,1954,9,Publications of the research group for european migration problems,Staatsdrukkerij,main
29,Industrialization-emigration; the consequences of the demographic development in the Netherlands,,"Steigenga, W.","Steigenga, W.",,,1955,1955,article,,,,1955,1955,10,Publications of the research group for european migration problems,Staatsdrukkerij,main
31,The assimilation and integration of pre- and postwar refugees in the Netherlands,,"Verwey-Jonker, H. && Brackel, P.O.M.","Verwey-Jonker, H. && Brackel, P.O.M.", && ,,1957,1957,article,,,,1957,1957,11,Publications of the research group for european migration problems,Staatsdrukkerij,main
32,Introduction,,"Verkade, W. && Zeegers, G.H.L.","Verkade, W. && Zeegers, G.H.L.", && ,,1957,1957,article,,,,1957,1957,11,Publications of the research group for european migration problems,Staatsdrukkerij,main
34,The German exodus : a selective study on the post World War II expulsion of German populations and its effects,,"Paikert, G.C.","Paikert, G.C.",,,1962,1962,article,,,,1962,1962,12,Publications of the research group for european migration problems,Staatsdrukkerij,main
35,Adjustment after migration : A longitudinal study of the process of adjustment by refugees to a new environment,,"Ex, J.","Ex, J.",,,1966,1966,article,,,,1966,1966,13,Publications of the research group for european migration problems,Staatsdrukkerij,main
37,The assimilation myth : a study of second generation Polish immigrants in Western Australia,,"Johnston, R.","Johnston, R.",,,1969,1969,article,,,,1969,1969,14,Publications of the research group for european migration problems,Staatsdrukkerij,main
38,Acculturation and occupation : a study of the 1956 Hungarian refugees in the United States,,"Weinstock, S. Alexander","Weinstock, S. Alexander",,,1969,1969,article,,,,1969,1969,15,Publications of the research group for european migration problems,Staatsdrukkerij,main
39,The return movement of Jews to Austria after the Second World War : with special consideration of the return from IsraÃ«l,,"Wilder-Okladek, F.","Wilder-Okladek, F.",,,1969,1969,article,,,,1969,1969,16,Publications of the research group for european migration problems,Staatsdrukkerij,main
40,"The speech of Yugoslav immigrants in San Pedro, California",,"Albin, A. && Alexander, R.","Albin, A. && Alexander, R.", && ,,1972,1972,article,,,,1972,1972,17,Publications of the research group for european migration problems,Staatsdrukkerij,main
41,Immigrant integration and urban renewal in Toronto,,"Neumann, B. && Mezoff, R.","Neumann, B. && Mezoff, R.", && ,,1973,1973,article,,,,1973,1973,18,Publications of the research group for european migration problems,Staatsdrukkerij,main
42,"Pioneer settlement in South Brazil : the case of Toledo, ParanÃ¡",,"Muller, K.D.","Muller, K.D.",,,1974,1974,article,,,,1974,1974,19,Publications of the research group for european migration problems,Staatsdrukkerij,main
